trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.5, 'e': 0.8877549425285923}",30,0,-82.91814264507771,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.8868671875860638}",20,4,-48.476949650405395,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.8859803203984776}",20,0,-94.35247809979423,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.8850943400780792}",30,0,-137.28061957638081,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
124,False,"{'a': 0.5, 'e': 0.8842092457380011}",25,0,-140.9005521106108,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.8833250364922631}",30,3,-130.31218036724144,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 2}",1
126,False,"{'a': 0.5, 'e': 0.8824417114557709}",25,0,-112.70141080925819,"{0: 11, 1: 5, 2: 8, 3: 1, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.8815592697443151}",20,0,-52.17924572031021,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.8806777104745708}",30,17,-6.575640951711168,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.8797970327640962}",25,0,-98.48767024673917,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.8789172357313321}",25,0,-58.164187962454044,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.8780383184956008}",20,0,-103.93232039314239,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.8771602801771051}",20,0,-92.06576791304744,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.8762831198969281}",25,0,-32.278481169821774,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.8754068367770311}",20,3,-1.489340305855854,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.8745314299402541}",20,0,-126.36432765533016,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.8736568985103138}",25,8,-4.341813466734786,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.8727832416118035}",20,0,-56.247759840604665,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.8719104583701917}",20,0,-78.18726654191934,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.8710385479118216}",30,5,-119.85181293239333,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",1
140,False,"{'a': 0.5, 'e': 0.8701675093639096}",20,0,-76.79155012103323,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.8692973418545458}",20,0,-42.080592252543795,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.8684280445126912}",20,0,-24.785990432217734,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.8675596164681786}",35,0,-98.29870099712177,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.8666920568517104}",30,0,-148.14989280646657,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
145,False,"{'a': 0.5, 'e': 0.8658253647948586}",25,1,-65.68058948733056,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.8649595394300638}",20,0,-71.90576851984602,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.8640945798906338}",25,3,-144.73440645511783,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 2}",1
148,False,"{'a': 0.5, 'e': 0.8632304853107431}",25,0,-124.11348415066492,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
149,False,"{'a': 0.5, 'e': 0.8623672548254323}",20,0,-108.52285070613951,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.861504887570607}",30,0,-138.3155610691832,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.8606433826830363}",20,0,-58.066439720015104,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.8597827393003533}",20,0,-83.30583753351539,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.8589229565610529}",25,7,-72.7241815992343,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.8580640336044919}",25,6,-81.68708088866562,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.8572059695708873}",35,1,-148.1191669963894,"{0: 23, 1: 2, 2: 5, 3: 2, 4: 2}",1
156,False,"{'a': 0.5, 'e': 0.8563487636013165}",35,17,-159.21630426437957,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 4}",1
157,False,"{'a': 0.5, 'e': 0.8554924148377152}",25,0,-264.083995816524,"{0: 10, 1: 2, 2: 8, 3: 1, 4: 4}",0
158,False,"{'a': 0.5, 'e': 0.8546369224228775}",20,0,-38.570744356994474,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.8537822855004545}",30,0,-276.1275092458508,"{0: 13, 1: 1, 2: 12, 3: 0, 4: 4}",0
160,False,"{'a': 0.5, 'e': 0.8529285032149541}",20,0,-115.87154626867068,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.8520755747117391}",25,1,-159.91189705315745,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 3}",1
162,False,"{'a': 0.5, 'e': 0.8512234991370274}",25,0,-101.88521739629975,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
163,False,"{'a': 0.5, 'e': 0.8503722756378904}",30,0,-113.83454801503538,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.8495219033622525}",30,2,-125.7053590489055,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 2}",1
165,False,"{'a': 0.5, 'e': 0.8486723814588902}",20,0,-95.82470369313788,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.8478237090774313}",20,0,-96.13262468979937,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.8469758853683539}",20,0,-155.68343398137702,"{0: 9, 1: 6, 2: 2, 3: 0, 4: 3}",0
168,False,"{'a': 0.5, 'e': 0.8461289094829856}",20,0,-104.89229579582904,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.8452827805735026}",25,15,14.666376699037752,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.8444374977929291}",20,0,-66.70628456157236,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.8435930602951361}",20,14,0.9052151524835468,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.842749467234841}",25,0,-60.93152683662187,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.8419067177676062}",35,0,-158.95082814530562,"{0: 24, 1: 3, 2: 5, 3: 0, 4: 3}",0
174,False,"{'a': 0.5, 'e': 0.8410648110498385}",25,11,-59.26732050936768,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
175,False,"{'a': 0.5, 'e': 0.8402237462387887}",25,0,-102.26289316616268,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.8393835224925499}",25,0,-36.604993926736284,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.8385441389700574}",20,3,-16.60942005365217,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.8377055948310873}",30,4,-139.0318870821283,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 2}",1
179,False,"{'a': 0.5, 'e': 0.8368678892362562}",30,0,-133.11980957588096,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.83603102134702}",35,0,-173.54318753084758,"{0: 23, 1: 2, 2: 6, 3: 1, 4: 3}",0
181,False,"{'a': 0.5, 'e': 0.8351949903256729}",20,0,-112.10363399890012,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
182,False,"{'a': 0.5, 'e': 0.8343597953353473}",25,0,-21.7804616253649,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
